packet_id,timestep,routing_mode,src,dst,path,hop_count,end_to_end_latency_ms,base_latency_ms,queuing_delay_ms,path_loss_prob,delivered,demand_gbps,size_bytes,bottleneck_avail_bw_gbps,max_congestion
0,1,dynamic_dijkstra,1,10,"[1, 2, 5, 10]",3,23.08155671006754,21.75,1.3315567100675416,0.0,True,0.05,1500,4.828534663886493,0.5171465336113508
1,1,dynamic_dijkstra,5,6,"[5, 6]",1,6.561728011063859,6.0,0.5617280110638587,0.0,True,0.05,1500,4.709304028806745,0.5290695971193256
2,1,dynamic_dijkstra,9,1,"[9, 8, 7, 1]",3,23.224463581399178,21.9,1.3244635813991792,0.0,True,0.05,1500,4.872009792391703,0.5127990207608297
3,1,dynamic_dijkstra,1,7,"[1, 7]",1,15.360498840379517,15.0,0.36049884037951685,0.0,True,0.05,1500,5.810583077363344,0.4189416922636656
4,1,dynamic_dijkstra,9,10,"[9, 13, 10]",2,7.097949089522059,6.25,0.8479490895220589,0.0,True,0.05,1500,4.717701216971122,0.5282298783028878
5,1,dynamic_dijkstra,7,10,"[7, 12, 11, 10]",3,11.080282338760115,9.5,1.5802823387601155,0.0,True,0.05,1500,3.9482297720467168,0.6051770227953284
6,1,dynamic_dijkstra,10,6,"[10, 5, 6]",2,14.583998548270344,13.5,1.083998548270344,0.0,True,0.05,1500,4.659304028806745,0.5340695971193254
7,1,dynamic_dijkstra,4,2,"[4, 5, 2]",2,14.864401128168774,14.25,0.6144011281687742,0.0,True,0.05,1500,6.152027299658592,0.3847972700341408
8,1,dynamic_dijkstra,9,10,"[9, 13, 10]",2,7.115562509596501,6.25,0.8655625095965007,0.0,True,0.05,1500,4.667701216971122,0.5332298783028878
9,1,dynamic_dijkstra,7,10,"[7, 12, 11, 10]",3,11.113171486693712,9.5,1.6131714866937124,0.0,True,0.05,1500,3.898229772046717,0.6101770227953283
10,1,dynamic_dijkstra,3,5,"[3, 4, 5]",2,7.392217569735809,6.75,0.6422175697358092,0.0,True,0.05,1500,6.076679715435032,0.39233202845649684
11,1,dynamic_dijkstra,12,7,"[12, 7]",1,6.2219641933860705,5.75,0.47196419338607054,0.0,True,0.05,1500,5.144222425088832,0.4855777574911168
12,1,dynamic_dijkstra,13,11,"[13, 10, 11]",2,5.1320885638125855,3.75,1.3820885638125855,0.0,True,0.05,1500,3.848229772046717,0.6151770227953283
13,1,dynamic_dijkstra,8,2,"[8, 7, 1, 2]",3,22.10122559794518,20.65,1.4512255979451822,0.0,True,0.05,1500,4.778534663886493,0.5221465336113507
14,1,dynamic_dijkstra,4,9,"[4, 9]",1,11.448223412355437,11.0,0.4482234123554374,0.0,True,0.05,1500,5.273018926604792,0.4726981073395208
15,1,dynamic_dijkstra,12,6,"[12, 11, 6]",2,14.073595925775688,13.25,0.8235959257756882,0.0,True,0.05,1500,5.2738892950557945,0.4726110704944205
16,1,dynamic_dijkstra,8,10,"[8, 12, 11, 10]",3,9.843950204560135,8.25,1.5939502045601355,0.0,True,0.05,1500,3.7982297720467173,0.6201770227953283
17,1,dynamic_dijkstra,5,2,"[5, 2]",1,10.808139449656425,10.5,0.3081394496564247,0.0,True,0.05,1500,6.187051012205523,0.38129489877944767
18,1,dynamic_dijkstra,6,0,"[6, 5, 4, 3, 0]",4,19.904003435082938,18.25,1.654003435082938,0.0,True,0.05,1500,4.609304028806745,0.5390695971193254
19,1,dynamic_dijkstra,2,10,"[2, 5, 10]",2,18.835923530935247,18.0,0.8359235309352471,0.0,True,0.05,1500,4.8962006497852295,0.510379935021477
20,1,dynamic_dijkstra,10,11,"[10, 11]",1,2.833963044978898,2.0,0.8339630449788982,0.0,True,0.05,1500,3.7482297720467175,0.6251770227953283
21,1,dynamic_dijkstra,5,12,"[5, 10, 11, 12]",3,13.02486753107851,11.25,1.7748675310785096,0.0,True,0.05,1500,3.6982297720467177,0.6301770227953283
22,1,dynamic_dijkstra,5,11,"[5, 10, 11]",2,10.913019542936256,9.5,1.4130195429362562,0.0,True,0.05,1500,3.648229772046718,0.6351770227953282
23,1,dynamic_dijkstra,11,6,"[11, 6]",1,11.95714126345141,11.5,0.45714126345141004,0.0,True,0.05,1500,5.223889295055795,0.47761107049442053
24,1,dynamic_dijkstra,6,1,"[6, 5, 2, 1]",3,21.72548446017261,20.25,1.4754844601726091,0.0,True,0.05,1500,4.5593040288067455,0.5440695971193255
25,1,dynamic_dijkstra,4,6,"[4, 5, 6]",2,10.69187041908086,9.75,0.9418704190808604,0.0,True,0.05,1500,4.509304028806746,0.5490695971193255
26,1,dynamic_dijkstra,7,9,"[7, 8, 9]",2,7.901828323757215,6.9,1.0018283237572145,0.0,True,0.05,1500,4.772009792391703,0.5227990207608297
27,1,dynamic_dijkstra,5,2,"[5, 2]",1,10.828218941647362,10.5,0.3282189416473624,0.0,True,0.05,1500,6.037051012205524,0.3962948987794476
