policy,seed,seed_type,delivered,dropped,loss_rate_pct,mean_latency_ms,median_latency_ms,p95_latency_ms,max_latency_ms,mean_queuing_delay_ms,mean_hops,throughput_gbps
Dynamic Dijkstra,42,in_distribution,1989,11,0.5499999999999999,15.196549731332741,15.229496069145851,25.673632233067025,35.964072576494175,1.7484099626047356,2.419306184012066,2.4862500000000005
Dynamic Dijkstra,100,held_out,1984,16,0.8,15.061688312261722,15.415526239743166,25.47874285724353,38.20135436563261,1.8082860945197874,2.3815524193548385,2.4800000000000004
Dynamic Dijkstra,200,held_out,1978,22,1.0999999999999999,15.226881246312848,15.377777645753977,26.371614469782383,40.74505792212412,1.988660821641461,2.4307381193124367,2.4725
Dynamic Dijkstra,300,held_out,1968,32,1.6,15.012492349419041,15.086367296698203,26.20787016021703,45.02801131918092,1.9289811705572504,2.383638211382114,2.4600000000000004
Dynamic Dijkstra,400,held_out,1988,12,0.6,15.101109536153544,15.383527113747924,25.986499900345798,35.817406277853344,1.7803348882662187,2.4014084507042255,2.4850000000000003
Static SPF,42,in_distribution,1959,41,2.0500000000000003,15.941382194445097,15.357474839120538,27.21659192008996,87.08848854989921,2.863817110218451,2.3966309341500764,2.4487500000000004
Static SPF,100,held_out,1957,43,2.15,15.749083672545904,15.416846909745514,27.42986701342655,53.76379967601683,2.869472022060465,2.357179356157384,2.4462500000000005
Static SPF,200,held_out,1938,62,3.1,16.268733860801884,15.42804282420139,31.878888578318357,74.68224183652812,3.595410847385991,2.3751289989680084,2.4225000000000003
Static SPF,300,held_out,1936,64,3.2,15.83752621690797,15.100797745225405,29.45558293725803,77.3548846918096,3.2446026631889606,2.3362603305785123,2.4200000000000004
Static SPF,400,held_out,1955,45,2.25,15.840348081507802,15.390768505568415,27.927466524679176,61.25636475453271,2.917432480484784,2.39693094629156,2.4437500000000005
Baseline RL (200k Reference),42,in_distribution,1842,158,7.9,18.89470990802326,17.556476281816078,38.53997441619689,73.49394239517464,2.7925926441796114,2.441910966340934,2.3025000000000007
Baseline RL (200k Reference),100,held_out,1836,164,8.200000000000001,18.607238059079567,17.14172854692111,37.85419481514734,65.79776015995246,2.6808219370752107,2.405773420479303,2.2950000000000004
Baseline RL (200k Reference),200,held_out,1848,152,7.6,20.29554087302818,18.166289243207522,45.62661982209707,76.25786704236145,4.430876370863678,2.4220779220779223,2.31
Baseline RL (200k Reference),300,held_out,1838,162,8.1,20.289811045064436,17.271677885133112,47.76571598513316,103.36583314029852,4.6406271495258125,2.3868335146898803,2.2975000000000003
Baseline RL (200k Reference),400,held_out,1850,150,7.5,19.33744610287139,17.454613406634063,41.475648283324745,75.5571727729893,2.9526893461146364,2.472972972972973,2.3125000000000004
Baseline (80k),42,in_distribution,1892,108,5.4,19.09538899091449,17.5587627359834,39.04553603087032,75.08970542506844,2.745943959202016,2.488372093023256,2.365
Baseline (80k),100,held_out,1913,87,4.35,18.96446006762597,17.292393712322152,38.649307142010976,72.09723657318861,2.6187203917242488,2.4558285415577625,2.3912500000000003
Baseline (80k),200,held_out,1892,108,5.4,20.653461398645398,18.419879136163573,46.387244673461296,76.25786704236145,4.510993111118973,2.456659619450317,2.365
Baseline (80k),300,held_out,1856,144,7.199999999999999,20.443999022960725,17.14473167752804,47.65884284505883,103.16291621049582,4.632334152271067,2.402478448275862,2.3200000000000003
Baseline (80k),400,held_out,1889,111,5.55,19.426945506333414,17.580345075320018,41.985743358450414,75.38720665809922,2.9431974915107584,2.4886183165696134,2.36125
Candidate A (80k),42,in_distribution,1929,71,3.55,18.60485545648002,16.55903174253651,38.23334204477068,75.08970542506844,2.6670897747796563,2.4421980300673924,2.4112500000000003
Candidate A (80k),100,held_out,1953,47,2.35,18.55250396801561,16.964366332589606,36.93727368741085,74.87714911622518,2.7457707370888293,2.41321044546851,2.4412500000000006
Candidate A (80k),200,held_out,1923,77,3.85,19.92036017040595,17.359535487669906,45.23581603885796,76.25786704236145,4.427484455377349,2.3972958918356735,2.40375
Candidate A (80k),300,held_out,1911,89,4.45,19.876528894700613,16.44983265605719,46.73728318437895,103.18952098211622,4.641207073664506,2.349555206698064,2.3887500000000004
Candidate A (80k),400,held_out,1926,74,3.6999999999999997,19.04842818988703,17.144747370066092,39.37957060891317,75.5571727729893,3.045338885629504,2.430425752855659,2.4075
Candidate B (80k),42,in_distribution,1934,66,3.3000000000000003,19.55765215730052,17.743831926906545,40.374656817737396,75.08970542506844,2.897724546131955,2.5527404343329887,2.4175000000000004
Candidate B (80k),100,held_out,1948,52,2.6,19.52367666206752,17.619653802163178,39.53130181137771,74.87265677454332,2.865668448515157,2.529774127310062,2.435
Candidate B (80k),200,held_out,1918,82,4.1000000000000005,20.857360816371383,18.458269018489922,46.380807348732894,76.25786704236145,4.428659043691505,2.5182481751824817,2.3975000000000004
Candidate B (80k),300,held_out,1911,89,4.45,21.121364970556403,17.434515503268415,49.448741947391426,103.16905554453906,4.968277581754728,2.4730507587650443,2.3887500000000004
Candidate B (80k),400,held_out,1914,86,4.3,20.05306776748842,18.03035487349348,41.91630407395685,77.93192503855302,3.0827177152418193,2.5705329153605017,2.3925000000000005
Candidate C (80k),42,in_distribution,1832,168,8.4,19.45216428440912,17.674412055138507,39.5906763321124,73.30482060732271,2.802109699256279,2.4776200873362444,2.2900000000000005
