step,episode,current_rate,drop_pct,peak_rate,incident_id
14045,5851,0.24,21.0,0.45,1
14046,5852,0.24,21.0,0.45,1
14047,5853,0.24,21.0,0.45,1
14050,5854,0.24,21.0,0.45,1
14052,5855,0.24,21.0,0.45,1
14054,5856,0.24,21.0,0.45,1
14055,5857,0.24,21.0,0.45,1
14058,5858,0.24,21.0,0.45,1
14063,5859,0.24,21.0,0.45,1
14067,5860,0.24,21.0,0.45,1
14075,5863,0.24,21.0,0.45,1
14076,5864,0.24,21.0,0.45,1
14080,5865,0.24,21.0,0.45,1
14082,5866,0.24,21.0,0.45,1
14089,5867,0.24,21.0,0.45,1
14090,5868,0.24,21.0,0.45,1
15845,6647,0.37,21.0,0.58,2
15854,6653,0.37,21.0,0.58,3
15856,6654,0.37,21.0,0.58,3
15858,6655,0.37,21.0,0.58,3
15859,6656,0.36,22.0,0.58,3
15861,6657,0.36,22.0,0.58,3
15862,6658,0.36,22.0,0.58,3
15863,6659,0.36,22.0,0.58,3
15865,6660,0.35,23.0,0.58,3
15866,6661,0.36,22.0,0.58,3
15871,6662,0.35,23.0,0.58,3
15876,6663,0.34,24.0,0.58,3
15878,6664,0.35,23.0,0.58,3
15880,6665,0.34,24.0,0.58,3
15881,6666,0.34,24.0,0.58,3
15888,6667,0.33,25.0,0.58,3
15891,6668,0.33,25.0,0.58,3
15894,6669,0.33,25.0,0.58,3
15895,6670,0.32,26.0,0.58,3
15896,6671,0.31,27.0,0.58,3
15897,6672,0.31,27.0,0.58,3
15899,6673,0.31,27.0,0.58,3
15901,6674,0.31,27.0,0.58,3
15902,6675,0.31,27.0,0.58,3
15903,6676,0.31,27.0,0.58,3
15904,6677,0.3,28.0,0.58,3
15905,6678,0.3,28.0,0.58,3
15909,6679,0.3,28.0,0.58,3
15910,6680,0.3,28.0,0.58,3
15912,6681,0.29,29.0,0.58,3
15915,6682,0.28,30.0,0.58,3
15916,6683,0.28,30.0,0.58,3
15917,6684,0.29,29.0,0.58,3
15918,6685,0.29,29.0,0.58,3
15919,6686,0.29,29.0,0.58,3
15923,6687,0.28,30.0,0.58,3
15927,6688,0.27,31.0,0.58,3
15928,6689,0.28,30.0,0.58,3
15930,6690,0.27,31.0,0.58,3
15934,6691,0.28,30.0,0.58,3
15936,6692,0.27,31.0,0.58,3
15938,6693,0.27,31.0,0.58,3
15939,6694,0.27,31.0,0.58,3
15941,6695,0.27,31.0,0.58,3
15942,6696,0.27,31.0,0.58,3
15946,6697,0.26,32.0,0.58,3
15948,6698,0.26,32.0,0.58,3
15951,6699,0.25,33.0,0.58,3
15953,6700,0.24,34.0,0.58,3
15956,6701,0.25,33.0,0.58,3
15959,6702,0.25,33.0,0.58,3
15960,6703,0.26,32.0,0.58,3
15962,6704,0.26,32.0,0.58,3
15964,6705,0.27,31.0,0.58,3
15965,6706,0.28,30.0,0.58,3
15968,6707,0.28,30.0,0.58,3
15972,6708,0.29,29.0,0.58,3
15973,6709,0.3,28.0,0.58,3
15974,6710,0.31,27.0,0.58,3
15975,6711,0.31,27.0,0.58,3
15977,6712,0.31,27.0,0.58,3
15978,6713,0.3,28.0,0.58,3
15982,6714,0.3,28.0,0.58,3
15984,6715,0.31,27.0,0.58,3
15986,6716,0.31,27.0,0.58,3
15988,6717,0.32,26.0,0.58,3
15990,6718,0.32,26.0,0.58,3
15992,6719,0.31,27.0,0.58,3
15993,6720,0.32,26.0,0.58,3
15994,6721,0.31,27.0,0.58,3
15997,6722,0.31,27.0,0.58,3
15998,6723,0.3,28.0,0.58,3
16001,6724,0.29,29.0,0.58,3
16004,6725,0.29,29.0,0.58,3
16005,6726,0.3,28.0,0.58,3
16006,6727,0.29,29.0,0.58,3
16008,6728,0.29,29.0,0.58,3
16009,6729,0.29,29.0,0.58,3
16011,6730,0.3,28.0,0.58,3
16013,6731,0.3,28.0,0.58,3
16014,6732,0.3,28.0,0.58,3
16017,6733,0.3,28.0,0.58,3
16021,6734,0.3,28.0,0.58,3
16023,6735,0.31,27.0,0.58,3
16025,6736,0.31,27.0,0.58,3
16028,6737,0.3,28.0,0.58,3
16030,6738,0.3,28.0,0.58,3
16031,6739,0.29,29.0,0.58,3
16035,6740,0.29,29.0,0.58,3
16037,6741,0.29,29.0,0.58,3
16041,6742,0.29,29.0,0.58,3
16044,6743,0.29,29.0,0.58,3
16048,6744,0.29,29.0,0.58,3
16050,6745,0.3,28.0,0.58,3
16052,6746,0.29,29.0,0.58,3
16053,6747,0.3,28.0,0.58,3
16055,6748,0.3,28.0,0.58,3
16056,6749,0.3,28.0,0.58,3
16061,6750,0.29,29.0,0.58,3
16062,6751,0.3,28.0,0.58,3
16063,6752,0.29,29.0,0.58,3
16064,6753,0.29,29.0,0.58,3
16066,6754,0.29,29.0,0.58,3
16068,6755,0.29,29.0,0.58,3
16071,6756,0.29,29.0,0.58,3
16074,6757,0.29,29.0,0.58,3
16076,6758,0.28,30.0,0.58,3
16078,6759,0.27,31.0,0.58,3
16079,6760,0.27,31.0,0.58,3
16082,6761,0.26,32.0,0.58,3
16084,6762,0.26,32.0,0.58,3
16089,6763,0.26,32.0,0.58,3
16091,6764,0.25,33.0,0.58,3
16092,6765,0.25,33.0,0.58,3
16093,6766,0.25,33.0,0.58,3
16095,6767,0.25,33.0,0.58,3
16097,6768,0.26,32.0,0.58,3
16098,6769,0.27,31.0,0.58,3
16101,6770,0.27,31.0,0.58,3
16103,6771,0.27,31.0,0.58,3
16105,6772,0.27,31.0,0.58,3
16107,6773,0.27,31.0,0.58,3
16110,6774,0.28,30.0,0.58,3
16111,6775,0.28,30.0,0.58,3
16113,6776,0.27,31.0,0.58,3
16114,6777,0.28,30.0,0.58,3
16116,6778,0.28,30.0,0.58,3
16117,6779,0.29,29.0,0.58,3
16119,6780,0.29,29.0,0.58,3
16120,6781,0.29,29.0,0.58,3
16122,6782,0.29,29.0,0.58,3
16123,6783,0.29,29.0,0.58,3
16125,6784,0.28,30.0,0.58,3
16128,6785,0.29,29.0,0.58,3
16129,6786,0.29,29.0,0.58,3
16133,6787,0.29,29.0,0.58,3
16136,6788,0.29,29.0,0.58,3
16138,6789,0.28,30.0,0.58,3
16140,6790,0.29,29.0,0.58,3
16143,6791,0.28,30.0,0.58,3
16145,6792,0.28,30.0,0.58,3
16146,6793,0.29,29.0,0.58,3
16148,6794,0.3,28.0,0.58,3
16149,6795,0.3,28.0,0.58,3
16150,6796,0.3,28.0,0.58,3
16154,6797,0.3,28.0,0.58,3
16156,6798,0.3,28.0,0.58,3
16158,6799,0.3,28.0,0.58,3
16160,6800,0.31,27.0,0.58,3
16162,6801,0.3,28.0,0.58,3
16165,6802,0.3,28.0,0.58,3
16167,6803,0.29,29.0,0.58,3
16168,6804,0.28,30.0,0.58,3
16170,6805,0.28,30.0,0.58,3
16174,6806,0.27,31.0,0.58,3
16176,6807,0.27,31.0,0.58,3
16179,6808,0.27,31.0,0.58,3
16182,6809,0.26,32.0,0.58,3
16184,6810,0.26,32.0,0.58,3
16186,6811,0.26,32.0,0.58,3
16188,6812,0.26,32.0,0.58,3
16189,6813,0.27,31.0,0.58,3
16190,6814,0.26,32.0,0.58,3
16193,6815,0.25,33.0,0.58,3
16195,6816,0.25,33.0,0.58,3
16197,6817,0.24,34.0,0.58,3
