step,episode,current_rate,peak_rate,drop_pct
14045,5851,0.24,0.45,21.000000000000004
14046,5852,0.24,0.45,21.000000000000004
14047,5853,0.24,0.45,21.000000000000004
14050,5854,0.24,0.45,21.000000000000004
14052,5855,0.24,0.45,21.000000000000004
14054,5856,0.24,0.45,21.000000000000004
14055,5857,0.24,0.45,21.000000000000004
14058,5858,0.24,0.45,21.000000000000004
14063,5859,0.24,0.45,21.000000000000004
14067,5860,0.24,0.45,21.000000000000004
14075,5863,0.24,0.45,21.000000000000004
14076,5864,0.24,0.45,21.000000000000004
14080,5865,0.24,0.45,21.000000000000004
14082,5866,0.24,0.45,21.000000000000004
14089,5867,0.24,0.45,21.000000000000004
14090,5868,0.24,0.45,21.000000000000004
15845,6647,0.37,0.58,20.999999999999996
15854,6653,0.37,0.58,20.999999999999996
15856,6654,0.37,0.58,20.999999999999996
15858,6655,0.37,0.58,20.999999999999996
15859,6656,0.36,0.58,21.999999999999996
15861,6657,0.36,0.58,21.999999999999996
15862,6658,0.36,0.58,21.999999999999996
15863,6659,0.36,0.58,21.999999999999996
15865,6660,0.35,0.58,23.0
15866,6661,0.36,0.58,21.999999999999996
15871,6662,0.35,0.58,23.0
15876,6663,0.34,0.58,23.999999999999993
15878,6664,0.35,0.58,23.0
15880,6665,0.34,0.58,23.999999999999993
15881,6666,0.34,0.58,23.999999999999993
15888,6667,0.33,0.58,24.999999999999993
15891,6668,0.33,0.58,24.999999999999993
15894,6669,0.33,0.58,24.999999999999993
15895,6670,0.32,0.58,25.999999999999996
15896,6671,0.31,0.58,26.999999999999996
15897,6672,0.31,0.58,26.999999999999996
15899,6673,0.31,0.58,26.999999999999996
15901,6674,0.31,0.58,26.999999999999996
15902,6675,0.31,0.58,26.999999999999996
15903,6676,0.31,0.58,26.999999999999996
15904,6677,0.3,0.58,27.999999999999996
15905,6678,0.3,0.58,27.999999999999996
15909,6679,0.3,0.58,27.999999999999996
15910,6680,0.3,0.58,27.999999999999996
15912,6681,0.29,0.58,28.999999999999996
15915,6682,0.28,0.58,29.999999999999993
15916,6683,0.28,0.58,29.999999999999993
15917,6684,0.29,0.58,28.999999999999996
15918,6685,0.29,0.58,28.999999999999996
15919,6686,0.29,0.58,28.999999999999996
15923,6687,0.28,0.58,29.999999999999993
15927,6688,0.27,0.58,30.999999999999993
15928,6689,0.28,0.58,29.999999999999993
15930,6690,0.27,0.58,30.999999999999993
15934,6691,0.28,0.58,29.999999999999993
15936,6692,0.27,0.58,30.999999999999993
15938,6693,0.27,0.58,30.999999999999993
15939,6694,0.27,0.58,30.999999999999993
15941,6695,0.27,0.58,30.999999999999993
15942,6696,0.27,0.58,30.999999999999993
15946,6697,0.26,0.58,31.999999999999996
15948,6698,0.26,0.58,31.999999999999996
15951,6699,0.25,0.58,32.99999999999999
15953,6700,0.24,0.58,34.0
15956,6701,0.25,0.58,32.99999999999999
15959,6702,0.25,0.58,32.99999999999999
15960,6703,0.26,0.58,31.999999999999996
15962,6704,0.26,0.58,31.999999999999996
15964,6705,0.27,0.58,30.999999999999993
15965,6706,0.28,0.58,29.999999999999993
15968,6707,0.28,0.58,29.999999999999993
15972,6708,0.29,0.58,28.999999999999996
15973,6709,0.3,0.58,27.999999999999996
15974,6710,0.31,0.58,26.999999999999996
15975,6711,0.31,0.58,26.999999999999996
15977,6712,0.31,0.58,26.999999999999996
15978,6713,0.3,0.58,27.999999999999996
15982,6714,0.3,0.58,27.999999999999996
15984,6715,0.31,0.58,26.999999999999996
15986,6716,0.31,0.58,26.999999999999996
15988,6717,0.32,0.58,25.999999999999996
15990,6718,0.32,0.58,25.999999999999996
15992,6719,0.31,0.58,26.999999999999996
15993,6720,0.32,0.58,25.999999999999996
15994,6721,0.31,0.58,26.999999999999996
15997,6722,0.31,0.58,26.999999999999996
15998,6723,0.3,0.58,27.999999999999996
16001,6724,0.29,0.58,28.999999999999996
16004,6725,0.29,0.58,28.999999999999996
16005,6726,0.3,0.58,27.999999999999996
16006,6727,0.29,0.58,28.999999999999996
16008,6728,0.29,0.58,28.999999999999996
16009,6729,0.29,0.58,28.999999999999996
16011,6730,0.3,0.58,27.999999999999996
16013,6731,0.3,0.58,27.999999999999996
16014,6732,0.3,0.58,27.999999999999996
16017,6733,0.3,0.58,27.999999999999996
16021,6734,0.3,0.58,27.999999999999996
16023,6735,0.31,0.58,26.999999999999996
16025,6736,0.31,0.58,26.999999999999996
16028,6737,0.3,0.58,27.999999999999996
16030,6738,0.3,0.58,27.999999999999996
16031,6739,0.29,0.58,28.999999999999996
16035,6740,0.29,0.58,28.999999999999996
16037,6741,0.29,0.58,28.999999999999996
16041,6742,0.29,0.58,28.999999999999996
16044,6743,0.29,0.58,28.999999999999996
16048,6744,0.29,0.58,28.999999999999996
16050,6745,0.3,0.58,27.999999999999996
16052,6746,0.29,0.58,28.999999999999996
16053,6747,0.3,0.58,27.999999999999996
16055,6748,0.3,0.58,27.999999999999996
16056,6749,0.3,0.58,27.999999999999996
16061,6750,0.29,0.58,28.999999999999996
16062,6751,0.3,0.58,27.999999999999996
16063,6752,0.29,0.58,28.999999999999996
16064,6753,0.29,0.58,28.999999999999996
16066,6754,0.29,0.58,28.999999999999996
16068,6755,0.29,0.58,28.999999999999996
16071,6756,0.29,0.58,28.999999999999996
16074,6757,0.29,0.58,28.999999999999996
16076,6758,0.28,0.58,29.999999999999993
16078,6759,0.27,0.58,30.999999999999993
16079,6760,0.27,0.58,30.999999999999993
16082,6761,0.26,0.58,31.999999999999996
16084,6762,0.26,0.58,31.999999999999996
16089,6763,0.26,0.58,31.999999999999996
16091,6764,0.25,0.58,32.99999999999999
16092,6765,0.25,0.58,32.99999999999999
16093,6766,0.25,0.58,32.99999999999999
16095,6767,0.25,0.58,32.99999999999999
16097,6768,0.26,0.58,31.999999999999996
16098,6769,0.27,0.58,30.999999999999993
16101,6770,0.27,0.58,30.999999999999993
16103,6771,0.27,0.58,30.999999999999993
