step,episode,delivery_rate,peak_rate,mean_return,mean_hops,invalid_count
1576,500,0.2,0.26,-12.14,3.0,0
2904,1000,0.13,0.26,-13.67,2.3,0
4108,1500,0.18,0.26,-12.74,2.3,0
5274,2000,0.16,0.31,-13.88,2.5,0
6406,2500,0.26,0.31,-11.02,2.2,0
7579,3000,0.22,0.31,-12.0,2.2,0
8663,3500,0.21,0.31,-10.85,2.0,0
9810,4000,0.19,0.33,-13.33,2.4,0
10946,4500,0.32,0.34,-11.0,2.4,0
12138,5000,0.3,0.36,-10.43,2.2,0
13265,5500,0.37,0.45,-9.31,2.3,0
14363,6000,0.35,0.45,-8.77,2.1,0
15492,6500,0.47,0.47,-7.3,2.2,0
16591,7000,0.36,0.58,-9.59,2.3,0
17716,7500,0.35,0.58,-9.5,2.2,0
18809,8000,0.39,0.58,-7.9,2.0,0
19895,8500,0.41,0.58,-9.4,2.4,0
21008,9000,0.5,0.58,-6.88,2.2,0
22067,9500,0.43,0.58,-6.8,1.9,0
23173,10000,0.47,0.58,-7.26,2.2,0
24233,10500,0.48,0.58,-7.52,2.3,0
25268,11000,0.49,0.58,-6.98,2.2,0
26330,11500,0.44,0.58,-7.97,2.2,0
27365,12000,0.52,0.61,-5.67,2.0,0
28419,12500,0.51,0.61,-6.18,2.1,0
29474,13000,0.5,0.66,-6.94,2.2,0
30497,13500,0.54,0.66,-5.68,2.1,0
31553,14000,0.55,0.66,-5.44,2.1,0
32574,14500,0.59,0.67,-3.84,1.9,0
33660,15000,0.55,0.69,-5.2,2.0,0
34684,15500,0.61,0.73,-4.19,2.0,0
35736,16000,0.54,0.73,-5.52,2.0,0
36726,16500,0.61,0.73,-3.26,1.8,0
37717,17000,0.57,0.74,-3.96,1.9,0
38720,17500,0.64,0.74,-3.38,2.0,0
39780,18000,0.6,0.74,-4.01,2.0,0
40791,18500,0.61,0.75,-3.44,1.8,0
41824,19000,0.63,0.75,-3.94,2.1,0
42859,19500,0.55,0.75,-5.2,2.0,0
43837,20000,0.7,0.75,-2.34,2.0,0
44867,20500,0.61,0.75,-3.7,1.9,0
45899,21000,0.62,0.78,-4.48,2.2,0
46924,21500,0.72,0.78,-3.35,2.3,0
47959,22000,0.72,0.78,-3.05,2.2,0
48973,22500,0.7,0.78,-2.36,2.0,0
49980,23000,0.72,0.79,-1.8,1.9,0
51017,23500,0.62,0.79,-4.13,2.1,0
52018,24000,0.63,0.8,-3.78,2.0,0
53030,24500,0.56,0.8,-4.63,2.0,0
54028,25000,0.68,0.8,-3.12,2.1,0
55090,25500,0.72,0.8,-2.31,2.0,0
56133,26000,0.73,0.8,-2.06,2.0,0
57147,26500,0.65,0.8,-3.77,2.1,0
58165,27000,0.62,0.8,-4.11,2.1,0
59203,27500,0.71,0.8,-3.43,2.3,0
60253,28000,0.66,0.8,-3.09,2.0,0
61284,28500,0.76,0.8,-2.21,2.2,0
62300,29000,0.6,0.8,-3.23,1.8,0
63354,29500,0.62,0.83,-4.22,2.1,0
64338,30000,0.63,0.83,-3.17,1.9,0
65383,30500,0.69,0.83,-2.75,2.1,0
66373,31000,0.66,0.83,-3.27,2.0,0
67372,31500,0.66,0.83,-2.67,1.9,0
68394,32000,0.75,0.83,-1.7,2.0,0
69408,32500,0.71,0.83,-1.89,1.9,0
70500,33000,0.73,0.83,-2.33,2.1,0
71509,33500,0.66,0.83,-2.96,2.0,0
72493,34000,0.66,0.83,-2.83,1.9,0
73532,34500,0.71,0.83,-3.05,2.2,0
74565,35000,0.63,0.83,-3.51,2.0,0
75582,35500,0.71,0.83,-3.31,2.2,0
76587,36000,0.67,0.83,-3.21,2.1,0
77631,36500,0.64,0.83,-3.26,2.0,0
78612,37000,0.69,0.83,-2.89,2.1,0
79647,37500,0.76,0.83,-2.09,2.1,0
80678,38000,0.76,0.83,-1.04,1.9,0
81649,38500,0.72,0.83,-2.22,2.0,0
