step,episode,current_rate,peak_rate,drop_pct
6760,2634,0.19,0.4,21.000000000000004
6763,2635,0.19,0.4,21.000000000000004
6764,2636,0.19,0.4,21.000000000000004
6765,2637,0.19,0.4,21.000000000000004
6766,2638,0.18,0.4,22.000000000000004
6767,2639,0.18,0.4,22.000000000000004
6768,2640,0.18,0.4,22.000000000000004
6770,2641,0.18,0.4,22.000000000000004
6773,2642,0.18,0.4,22.000000000000004
6776,2643,0.17,0.4,23.0
6778,2644,0.17,0.4,23.0
6780,2645,0.17,0.4,23.0
6784,2646,0.17,0.4,23.0
6786,2647,0.17,0.4,23.0
6787,2648,0.18,0.4,22.000000000000004
6788,2649,0.17,0.4,23.0
6789,2650,0.17,0.4,23.0
6792,2651,0.17,0.4,23.0
6794,2652,0.17,0.4,23.0
6798,2653,0.17,0.4,23.0
6800,2654,0.17,0.4,23.0
6803,2655,0.17,0.4,23.0
6806,2656,0.17,0.4,23.0
6810,2657,0.17,0.4,23.0
6812,2658,0.17,0.4,23.0
6814,2659,0.16,0.4,24.000000000000004
6819,2660,0.17,0.4,23.0
6821,2661,0.17,0.4,23.0
6823,2662,0.17,0.4,23.0
6825,2663,0.17,0.4,23.0
6829,2664,0.17,0.4,23.0
6832,2665,0.17,0.4,23.0
6833,2666,0.18,0.4,22.000000000000004
6835,2667,0.18,0.4,22.000000000000004
6837,2668,0.18,0.4,22.000000000000004
6838,2669,0.18,0.4,22.000000000000004
6841,2670,0.18,0.4,22.000000000000004
6843,2671,0.18,0.4,22.000000000000004
6844,2672,0.19,0.4,21.000000000000004
6894,2693,0.19,0.4,21.000000000000004
6897,2694,0.19,0.4,21.000000000000004
6915,2702,0.19,0.4,21.000000000000004
6917,2703,0.19,0.4,21.000000000000004
6919,2704,0.19,0.4,21.000000000000004
7352,2893,0.19,0.4,21.000000000000004
7355,2894,0.19,0.4,21.000000000000004
7356,2895,0.18,0.4,22.000000000000004
7358,2896,0.18,0.4,22.000000000000004
7360,2897,0.18,0.4,22.000000000000004
7361,2898,0.18,0.4,22.000000000000004
7364,2899,0.18,0.4,22.000000000000004
7367,2900,0.19,0.4,21.000000000000004
7372,2901,0.19,0.4,21.000000000000004
7376,2902,0.18,0.4,22.000000000000004
7378,2903,0.18,0.4,22.000000000000004
7381,2904,0.18,0.4,22.000000000000004
7383,2905,0.18,0.4,22.000000000000004
7384,2906,0.18,0.4,22.000000000000004
7387,2907,0.18,0.4,22.000000000000004
7390,2908,0.17,0.4,23.0
7391,2909,0.17,0.4,23.0
7392,2910,0.16,0.4,24.000000000000004
7393,2911,0.16,0.4,24.000000000000004
7395,2912,0.17,0.4,23.0
