step,episode,delivery_rate,peak_rate,mean_return,mean_hops,invalid_count
1576,500,0.2,0.26,-9.93,3.0,0
2905,1000,0.14,0.26,-12.69,2.5,0
4115,1500,0.15,0.26,-12.2,2.4,0
5289,2000,0.22,0.26,-11.46,2.5,0
6445,2500,0.36,0.36,-8.15,2.2,0
7618,3000,0.21,0.4,-11.59,2.5,0
8717,3500,0.29,0.4,-8.88,2.2,0
9864,4000,0.26,0.4,-10.18,2.3,0
10984,4500,0.33,0.42,-9.12,2.4,0
12139,5000,0.34,0.42,-8.63,2.3,0
13274,5500,0.24,0.43,-10.53,2.4,0
14395,6000,0.3,0.43,-8.71,2.2,0
15507,6500,0.44,0.52,-6.53,2.2,0
16630,7000,0.37,0.55,-8.01,2.2,0
17693,7500,0.39,0.55,-7.32,2.2,0
18783,8000,0.4,0.57,-6.31,1.9,0
19874,8500,0.43,0.57,-7.17,2.3,0
21005,9000,0.51,0.57,-5.23,2.2,0
22068,9500,0.39,0.57,-6.42,1.9,0
23124,10000,0.53,0.58,-4.8,2.1,0
24181,10500,0.52,0.58,-4.84,2.1,0
25202,11000,0.52,0.58,-4.65,2.1,0
26264,11500,0.57,0.67,-4.21,2.2,0
27298,12000,0.56,0.67,-3.99,2.1,0
28347,12500,0.54,0.67,-4.54,2.1,0
29386,13000,0.53,0.69,-4.41,2.1,0
30400,13500,0.67,0.69,-1.68,1.9,0
31427,14000,0.59,0.69,-3.5,2.1,0
32422,14500,0.59,0.69,-2.68,1.9,0
33477,15000,0.58,0.71,-4.11,2.2,0
34485,15500,0.58,0.74,-3.26,2.0,0
35536,16000,0.66,0.74,-2.74,2.2,0
36545,16500,0.69,0.74,-0.94,1.8,0
37541,17000,0.64,0.74,-2.21,2.0,0
38548,17500,0.72,0.74,-0.62,1.9,0
39605,18000,0.67,0.76,-2.04,2.1,0
40609,18500,0.61,0.79,-2.37,1.9,0
41661,19000,0.71,0.79,-1.57,2.1,0
42688,19500,0.6,0.79,-3.4,2.1,0
43683,20000,0.75,0.79,-0.22,1.9,0
44679,20500,0.73,0.8,-0.99,2.0,0
45672,21000,0.66,0.8,-2.16,2.1,0
46691,21500,0.7,0.82,-1.47,2.1,0
47695,22000,0.63,0.82,-2.06,1.9,0
48711,22500,0.65,0.82,-1.5,1.9,0
49725,23000,0.69,0.82,-0.82,1.8,0
50746,23500,0.64,0.82,-2.38,2.0,0
51749,24000,0.76,0.82,-0.77,2.1,0
52767,24500,0.64,0.82,-2.1,1.9,0
53742,25000,0.68,0.82,-1.85,2.1,0
54802,25500,0.7,0.82,-1.17,2.0,0
55820,26000,0.72,0.82,-0.25,1.8,0
56834,26500,0.72,0.82,-1.71,2.2,0
57841,27000,0.73,0.82,-1.32,2.2,0
58849,27500,0.7,0.82,-1.37,2.1,0
59865,28000,0.68,0.82,-1.44,2.0,0
60889,28500,0.68,0.83,-1.02,1.9,0
61918,29000,0.82,0.85,0.53,2.1,0
62922,29500,0.67,0.85,-2.15,2.1,0
63964,30000,0.73,0.85,-0.66,2.0,0
64979,30500,0.72,0.85,-1.02,2.1,0
65973,31000,0.72,0.85,-0.97,2.0,0
66974,31500,0.74,0.85,-0.47,2.0,0
67971,32000,0.74,0.85,-0.29,1.9,0
68995,32500,0.68,0.85,-1.21,1.9,0
70035,33000,0.79,0.85,0.04,2.1,0
71082,33500,0.71,0.85,-1.27,2.0,0
72085,34000,0.67,0.85,-2.04,2.1,0
73064,34500,0.6,0.85,-2.49,1.9,0
74129,35000,0.81,0.85,-0.05,2.2,0
75134,35500,0.62,0.85,-2.39,2.0,0
76152,36000,0.69,0.85,-1.36,2.0,0
77161,36500,0.75,0.85,-0.67,2.1,0
78152,37000,0.64,0.85,-2.25,2.0,0
79146,37500,0.65,0.85,-1.96,2.0,0
80168,38000,0.77,0.85,0.51,1.8,0
81160,38500,0.74,0.85,-0.26,1.9,0
