step,episode,current_rate,peak_rate,drop_pct
14823,6204,0.28,0.49,20.999999999999996
14827,6205,0.28,0.49,20.999999999999996
14828,6206,0.28,0.49,20.999999999999996
14830,6207,0.27,0.49,21.999999999999996
14834,6208,0.28,0.49,20.999999999999996
14836,6209,0.28,0.49,20.999999999999996
14838,6210,0.28,0.49,20.999999999999996
14841,6211,0.28,0.49,20.999999999999996
14844,6212,0.28,0.49,20.999999999999996
14847,6213,0.28,0.49,20.999999999999996
14848,6214,0.28,0.49,20.999999999999996
14854,6216,0.28,0.49,20.999999999999996
14855,6217,0.27,0.49,21.999999999999996
14856,6218,0.27,0.49,21.999999999999996
14859,6219,0.28,0.49,20.999999999999996
14862,6220,0.28,0.49,20.999999999999996
14864,6221,0.28,0.49,20.999999999999996
16010,6723,0.28,0.49,20.999999999999996
16012,6724,0.28,0.49,20.999999999999996
16018,6725,0.28,0.49,20.999999999999996
16047,6737,0.28,0.49,20.999999999999996
16048,6738,0.27,0.49,21.999999999999996
16052,6739,0.26,0.49,23.0
16054,6740,0.26,0.49,23.0
16055,6741,0.27,0.49,21.999999999999996
16056,6742,0.27,0.49,21.999999999999996
16057,6743,0.27,0.49,21.999999999999996
16060,6744,0.26,0.49,23.0
16065,6745,0.26,0.49,23.0
16067,6746,0.26,0.49,23.0
16068,6747,0.27,0.49,21.999999999999996
16070,6748,0.26,0.49,23.0
16072,6749,0.26,0.49,23.0
16074,6750,0.25,0.49,24.0
16078,6751,0.25,0.49,24.0
16079,6752,0.25,0.49,24.0
16081,6753,0.25,0.49,24.0
16084,6754,0.25,0.49,24.0
16085,6755,0.25,0.49,24.0
16086,6756,0.25,0.49,24.0
16088,6757,0.24,0.49,25.0
16093,6758,0.24,0.49,25.0
16094,6759,0.23,0.49,26.0
16096,6760,0.24,0.49,25.0
16097,6761,0.24,0.49,25.0
16101,6762,0.25,0.49,24.0
16102,6763,0.25,0.49,24.0
16104,6764,0.25,0.49,24.0
16106,6765,0.25,0.49,24.0
16107,6766,0.25,0.49,24.0
16109,6767,0.25,0.49,24.0
16110,6768,0.25,0.49,24.0
16112,6769,0.25,0.49,24.0
16113,6770,0.25,0.49,24.0
16116,6771,0.26,0.49,23.0
16118,6772,0.26,0.49,23.0
16119,6773,0.27,0.49,21.999999999999996
16122,6774,0.27,0.49,21.999999999999996
16124,6775,0.27,0.49,21.999999999999996
16127,6776,0.26,0.49,23.0
16128,6777,0.27,0.49,21.999999999999996
16129,6778,0.28,0.49,20.999999999999996
16179,6801,0.28,0.49,20.999999999999996
16181,6802,0.28,0.49,20.999999999999996
16182,6803,0.27,0.49,21.999999999999996
16186,6804,0.28,0.49,20.999999999999996
16190,6806,0.28,0.49,20.999999999999996
16191,6807,0.28,0.49,20.999999999999996
16192,6808,0.28,0.49,20.999999999999996
16196,6809,0.28,0.49,20.999999999999996
16201,6810,0.28,0.49,20.999999999999996
16307,6862,0.28,0.49,20.999999999999996
16309,6863,0.28,0.49,20.999999999999996
16313,6864,0.27,0.49,21.999999999999996
16317,6865,0.27,0.49,21.999999999999996
16320,6866,0.27,0.49,21.999999999999996
16322,6867,0.27,0.49,21.999999999999996
16324,6868,0.27,0.49,21.999999999999996
16326,6869,0.27,0.49,21.999999999999996
16328,6870,0.27,0.49,21.999999999999996
16330,6871,0.26,0.49,23.0
16331,6872,0.27,0.49,21.999999999999996
16333,6873,0.26,0.49,23.0
16336,6874,0.26,0.49,23.0
16337,6875,0.26,0.49,23.0
16341,6876,0.27,0.49,21.999999999999996
16343,6877,0.27,0.49,21.999999999999996
16345,6878,0.26,0.49,23.0
16346,6879,0.26,0.49,23.0
16348,6880,0.26,0.49,23.0
16350,6881,0.27,0.49,21.999999999999996
16352,6882,0.27,0.49,21.999999999999996
16353,6883,0.27,0.49,21.999999999999996
16355,6884,0.27,0.49,21.999999999999996
16357,6885,0.28,0.49,20.999999999999996
16360,6886,0.28,0.49,20.999999999999996
16361,6887,0.28,0.49,20.999999999999996
16362,6888,0.28,0.49,20.999999999999996
16364,6889,0.28,0.49,20.999999999999996
16365,6890,0.27,0.49,21.999999999999996
16367,6891,0.28,0.49,20.999999999999996
16369,6892,0.28,0.49,20.999999999999996
16371,6893,0.28,0.49,20.999999999999996
16373,6894,0.28,0.49,20.999999999999996
16375,6895,0.27,0.49,21.999999999999996
16379,6896,0.28,0.49,20.999999999999996
16382,6897,0.28,0.49,20.999999999999996
17369,7331,0.28,0.49,20.999999999999996
21411,9156,0.35,0.55,20.000000000000007
21414,9157,0.35,0.55,20.000000000000007
