step,episode,delivery_rate,peak_rate,mean_return,mean_hops,invalid_count
1576,500,0.2,0.26,-12.25,3.0,0
2894,1000,0.15,0.26,-14.41,2.3,0
4072,1500,0.16,0.26,-14.47,2.4,0
5249,2000,0.13,0.26,-16.31,2.6,0
6389,2500,0.25,0.26,-12.27,2.2,0
7590,3000,0.16,0.27,-15.89,2.6,0
8711,3500,0.19,0.33,-13.47,2.2,0
9866,4000,0.27,0.33,-12.22,2.3,0
10977,4500,0.3,0.35,-11.51,2.3,0
12156,5000,0.3,0.36,-11.72,2.3,0
13297,5500,0.36,0.39,-10.99,2.4,0
14381,6000,0.28,0.39,-11.91,2.2,0
15509,6500,0.37,0.49,-10.23,2.2,0
16621,7000,0.35,0.49,-10.73,2.3,0
17739,7500,0.42,0.49,-9.16,2.2,0
18815,8000,0.41,0.49,-8.54,2.0,0
19958,8500,0.43,0.49,-10.06,2.5,0
21048,9000,0.51,0.55,-7.43,2.1,0
22146,9500,0.42,0.55,-9.73,2.3,0
23219,10000,0.5,0.55,-6.73,1.9,0
24296,10500,0.4,0.56,-9.65,2.2,0
25333,11000,0.48,0.61,-7.9,2.1,0
26420,11500,0.45,0.63,-8.45,2.1,0
27447,12000,0.5,0.65,-6.86,2.0,0
28506,12500,0.57,0.65,-5.8,2.0,0
29570,13000,0.42,0.65,-9.38,2.2,0
30605,13500,0.63,0.65,-4.47,2.0,0
31638,14000,0.53,0.65,-6.55,2.0,0
32663,14500,0.66,0.66,-4.27,2.1,0
33717,15000,0.53,0.69,-6.48,2.0,0
34715,15500,0.63,0.69,-4.56,2.0,0
35775,16000,0.64,0.69,-4.37,2.0,0
36755,16500,0.63,0.69,-3.56,1.7,0
37733,17000,0.56,0.69,-5.45,1.9,0
38757,17500,0.65,0.75,-4.13,2.0,0
39813,18000,0.57,0.75,-5.56,2.0,0
40803,18500,0.6,0.75,-4.47,1.8,0
41839,19000,0.57,0.75,-5.7,2.0,0
42862,19500,0.58,0.75,-5.53,2.0,0
43836,20000,0.7,0.75,-3.01,1.9,0
44835,20500,0.61,0.75,-4.68,1.9,0
45851,21000,0.66,0.77,-4.45,2.1,0
46834,21500,0.55,0.77,-6.1,2.0,0
47865,22000,0.67,0.77,-4.3,2.1,0
48864,22500,0.69,0.77,-3.31,2.0,0
49874,23000,0.65,0.78,-3.19,1.7,0
50910,23500,0.63,0.78,-5.18,2.1,0
51906,24000,0.63,0.78,-4.52,2.0,0
52909,24500,0.66,0.78,-3.93,2.0,0
53885,25000,0.62,0.78,-4.69,2.0,0
54958,25500,0.69,0.78,-3.66,2.0,0
55978,26000,0.73,0.78,-2.42,1.9,0
56975,26500,0.6,0.79,-5.72,2.1,0
57993,27000,0.68,0.84,-3.97,2.1,0
59005,27500,0.66,0.84,-4.28,2.1,0
60034,28000,0.65,0.84,-4.83,2.1,0
61058,28500,0.74,0.84,-2.55,2.0,0
62095,29000,0.72,0.84,-2.95,2.0,0
63148,29500,0.66,0.84,-5.1,2.3,0
64176,30000,0.69,0.84,-3.6,2.0,0
65198,30500,0.68,0.84,-3.73,2.0,0
66202,31000,0.67,0.84,-4.66,2.2,0
67221,31500,0.71,0.84,-3.37,2.1,0
68265,32000,0.72,0.84,-2.92,2.0,0
69324,32500,0.72,0.84,-2.83,2.0,0
70403,33000,0.81,0.84,-2.06,2.2,0
71446,33500,0.69,0.84,-3.71,2.1,0
72442,34000,0.65,0.84,-4.22,2.0,0
73468,34500,0.71,0.84,-3.95,2.2,0
74535,35000,0.66,0.84,-4.32,2.1,0
75571,35500,0.76,0.84,-3.23,2.3,0
76584,36000,0.69,0.84,-4.15,2.2,0
77625,36500,0.64,0.84,-4.3,2.0,0
78635,37000,0.64,0.84,-4.89,2.1,0
79693,37500,0.73,0.84,-3.01,2.1,0
80727,38000,0.69,0.84,-2.96,1.8,0
81716,38500,0.77,0.84,-2.65,2.2,0
