step,episode,current_rate,peak_rate,drop_pct
6029,2305,0.11,0.32,21.000000000000004
6033,2306,0.11,0.32,21.000000000000004
6037,2307,0.1,0.32,22.0
6040,2308,0.1,0.32,22.0
6041,2309,0.1,0.32,22.0
6043,2310,0.1,0.32,22.0
6045,2311,0.1,0.32,22.0
6048,2312,0.11,0.32,21.000000000000004
6049,2313,0.11,0.32,21.000000000000004
9578,3854,0.19,0.4,21.000000000000004
9579,3855,0.18,0.4,22.000000000000004
9581,3856,0.17,0.4,23.0
9583,3857,0.17,0.4,23.0
9586,3858,0.17,0.4,23.0
9591,3859,0.17,0.4,23.0
9592,3860,0.17,0.4,23.0
9595,3861,0.16,0.4,24.000000000000004
9600,3862,0.16,0.4,24.000000000000004
9602,3863,0.16,0.4,24.000000000000004
9605,3864,0.17,0.4,23.0
9607,3865,0.17,0.4,23.0
9609,3866,0.17,0.4,23.0
9611,3867,0.17,0.4,23.0
9613,3868,0.17,0.4,23.0
9615,3869,0.17,0.4,23.0
9620,3870,0.16,0.4,24.000000000000004
9623,3871,0.16,0.4,24.000000000000004
9625,3872,0.16,0.4,24.000000000000004
9627,3873,0.17,0.4,23.0
9630,3874,0.16,0.4,24.000000000000004
9634,3875,0.17,0.4,23.0
9636,3876,0.17,0.4,23.0
9639,3877,0.17,0.4,23.0
9642,3878,0.17,0.4,23.0
9648,3879,0.16,0.4,24.000000000000004
9650,3880,0.16,0.4,24.000000000000004
9657,3881,0.16,0.4,24.000000000000004
9659,3882,0.15,0.4,25.0
9664,3883,0.16,0.4,24.000000000000004
9666,3884,0.16,0.4,24.000000000000004
9670,3885,0.16,0.4,24.000000000000004
9671,3886,0.17,0.4,23.0
9674,3887,0.17,0.4,23.0
9677,3888,0.17,0.4,23.0
9678,3889,0.17,0.4,23.0
9680,3890,0.18,0.4,22.000000000000004
9682,3891,0.19,0.4,21.000000000000004
9683,3892,0.19,0.4,21.000000000000004
11775,4792,0.24,0.45,21.000000000000004
11777,4793,0.23,0.45,22.0
11779,4794,0.22,0.45,23.0
11780,4795,0.22,0.45,23.0
11783,4796,0.22,0.45,23.0
11785,4797,0.22,0.45,23.0
11787,4798,0.22,0.45,23.0
11788,4799,0.22,0.45,23.0
11789,4800,0.21,0.45,24.000000000000004
11791,4801,0.21,0.45,24.000000000000004
11792,4802,0.2,0.45,25.0
11793,4803,0.2,0.45,25.0
11799,4804,0.2,0.45,25.0
11803,4805,0.21,0.45,24.000000000000004
11809,4806,0.22,0.45,23.0
11811,4807,0.23,0.45,22.0
11813,4808,0.23,0.45,22.0
11815,4809,0.22,0.45,23.0
11817,4810,0.22,0.45,23.0
11822,4811,0.23,0.45,22.0
11823,4812,0.24,0.45,21.000000000000004
11827,4814,0.24,0.45,21.000000000000004
12125,4943,0.24,0.45,21.000000000000004
12127,4944,0.24,0.45,21.000000000000004
12128,4945,0.24,0.45,21.000000000000004
12131,4946,0.24,0.45,21.000000000000004
12136,4947,0.24,0.45,21.000000000000004
12137,4948,0.24,0.45,21.000000000000004
12138,4949,0.23,0.45,22.0
12139,4950,0.23,0.45,22.0
12140,4951,0.23,0.45,22.0
12141,4952,0.24,0.45,21.000000000000004
12143,4953,0.24,0.45,21.000000000000004
12145,4954,0.24,0.45,21.000000000000004
12148,4955,0.24,0.45,21.000000000000004
12492,5098,0.24,0.45,21.000000000000004
12496,5099,0.23,0.45,22.0
12498,5100,0.24,0.45,21.000000000000004
12500,5101,0.24,0.45,21.000000000000004
13398,5507,0.27,0.48,20.999999999999996
13401,5509,0.27,0.48,20.999999999999996
13402,5510,0.26,0.48,21.999999999999996
13404,5511,0.25,0.48,23.0
13409,5512,0.25,0.48,23.0
13411,5513,0.25,0.48,23.0
13414,5514,0.25,0.48,23.0
13415,5515,0.26,0.48,21.999999999999996
13416,5516,0.26,0.48,21.999999999999996
13418,5517,0.26,0.48,21.999999999999996
13423,5518,0.26,0.48,21.999999999999996
13427,5519,0.26,0.48,21.999999999999996
13429,5520,0.26,0.48,21.999999999999996
13432,5521,0.26,0.48,21.999999999999996
13435,5522,0.25,0.48,23.0
13439,5523,0.25,0.48,23.0
13444,5524,0.25,0.48,23.0
13445,5525,0.25,0.48,23.0
13447,5526,0.25,0.48,23.0
13448,5527,0.25,0.48,23.0
13449,5528,0.25,0.48,23.0
13451,5529,0.24,0.48,24.0
13453,5530,0.24,0.48,24.0
13454,5531,0.25,0.48,23.0
13455,5532,0.25,0.48,23.0
13458,5533,0.26,0.48,21.999999999999996
13460,5534,0.27,0.48,20.999999999999996
13462,5535,0.27,0.48,20.999999999999996
13466,5536,0.27,0.48,20.999999999999996
13468,5537,0.27,0.48,20.999999999999996
13470,5538,0.27,0.48,20.999999999999996
13473,5539,0.27,0.48,20.999999999999996
13490,5547,0.27,0.48,20.999999999999996
13491,5548,0.27,0.48,20.999999999999996
13495,5549,0.27,0.48,20.999999999999996
13500,5550,0.27,0.48,20.999999999999996
13502,5551,0.27,0.48,20.999999999999996
13505,5552,0.27,0.48,20.999999999999996
13507,5553,0.27,0.48,20.999999999999996
13509,5554,0.27,0.48,20.999999999999996
13518,5557,0.27,0.48,20.999999999999996
13521,5558,0.27,0.48,20.999999999999996
13528,5559,0.27,0.48,20.999999999999996
13530,5560,0.26,0.48,21.999999999999996
13532,5561,0.26,0.48,21.999999999999996
13538,5562,0.26,0.48,21.999999999999996
13541,5563,0.25,0.48,23.0
13542,5564,0.25,0.48,23.0
13543,5565,0.25,0.48,23.0
13544,5566,0.24,0.48,24.0
13547,5567,0.24,0.48,24.0
13548,5568,0.24,0.48,24.0
13550,5569,0.24,0.48,24.0
13552,5570,0.24,0.48,24.0
13553,5571,0.24,0.48,24.0
13558,5572,0.24,0.48,24.0
13559,5573,0.24,0.48,24.0
13561,5574,0.24,0.48,24.0
13562,5575,0.24,0.48,24.0
13565,5576,0.24,0.48,24.0
13567,5577,0.24,0.48,24.0
13569,5578,0.24,0.48,24.0
13576,5579,0.23,0.48,24.999999999999996
13578,5580,0.22,0.48,26.0
13580,5581,0.22,0.48,26.0
13582,5582,0.21,0.48,27.0
13584,5583,0.21,0.48,27.0
13585,5584,0.21,0.48,27.0
13592,5585,0.21,0.48,27.0
13593,5586,0.21,0.48,27.0
13596,5587,0.22,0.48,26.0
13600,5588,0.23,0.48,24.999999999999996
13602,5589,0.22,0.48,26.0
13603,5590,0.21,0.48,27.0
13604,5591,0.22,0.48,26.0
13605,5592,0.22,0.48,26.0
13607,5593,0.22,0.48,26.0
13608,5594,0.23,0.48,24.999999999999996
13609,5595,0.22,0.48,26.0
13610,5596,0.22,0.48,26.0
13612,5597,0.22,0.48,26.0
13616,5598,0.22,0.48,26.0
13618,5599,0.22,0.48,26.0
13620,5600,0.22,0.48,26.0
13622,5601,0.22,0.48,26.0
13627,5602,0.22,0.48,26.0
13628,5603,0.23,0.48,24.999999999999996
13629,5604,0.23,0.48,24.999999999999996
13633,5605,0.22,0.48,26.0
13636,5606,0.22,0.48,26.0
13638,5607,0.22,0.48,26.0
13640,5608,0.21,0.48,27.0
13643,5609,0.21,0.48,27.0
13644,5610,0.22,0.48,26.0
13645,5611,0.22,0.48,26.0
13647,5612,0.22,0.48,26.0
13649,5613,0.22,0.48,26.0
13651,5614,0.23,0.48,24.999999999999996
13656,5615,0.22,0.48,26.0
13657,5616,0.22,0.48,26.0
13660,5617,0.23,0.48,24.999999999999996
13663,5618,0.23,0.48,24.999999999999996
13665,5619,0.23,0.48,24.999999999999996
13666,5620,0.23,0.48,24.999999999999996
13668,5621,0.23,0.48,24.999999999999996
13670,5622,0.23,0.48,24.999999999999996
13672,5623,0.23,0.48,24.999999999999996
13673,5624,0.23,0.48,24.999999999999996
13674,5625,0.23,0.48,24.999999999999996
13676,5626,0.23,0.48,24.999999999999996
13681,5627,0.23,0.48,24.999999999999996
13682,5628,0.23,0.48,24.999999999999996
13684,5629,0.24,0.48,24.0
13687,5630,0.24,0.48,24.0
13690,5631,0.24,0.48,24.0
13691,5632,0.24,0.48,24.0
13692,5633,0.23,0.48,24.999999999999996
13693,5634,0.23,0.48,24.999999999999996
13694,5635,0.24,0.48,24.0
13695,5636,0.24,0.48,24.0
13696,5637,0.23,0.48,24.999999999999996
13698,5638,0.23,0.48,24.999999999999996
13700,5639,0.24,0.48,24.0
13701,5640,0.24,0.48,24.0
13702,5641,0.24,0.48,24.0
13703,5642,0.25,0.48,23.0
13705,5643,0.25,0.48,23.0
13708,5644,0.25,0.48,23.0
13710,5645,0.26,0.48,21.999999999999996
13712,5646,0.26,0.48,21.999999999999996
13715,5647,0.26,0.48,21.999999999999996
13720,5648,0.26,0.48,21.999999999999996
13722,5649,0.25,0.48,23.0
13724,5650,0.25,0.48,23.0
13725,5651,0.25,0.48,23.0
13726,5652,0.24,0.48,24.0
13727,5653,0.24,0.48,24.0
13728,5654,0.24,0.48,24.0
13730,5655,0.24,0.48,24.0
13732,5656,0.24,0.48,24.0
13735,5657,0.25,0.48,23.0
13739,5658,0.25,0.48,23.0
13744,5659,0.25,0.48,23.0
13748,5660,0.26,0.48,21.999999999999996
13751,5661,0.26,0.48,21.999999999999996
13752,5662,0.26,0.48,21.999999999999996
13755,5663,0.27,0.48,20.999999999999996
13806,5688,0.27,0.48,20.999999999999996
13937,5745,0.27,0.48,20.999999999999996
13939,5746,0.27,0.48,20.999999999999996
13941,5747,0.27,0.48,20.999999999999996
13942,5748,0.27,0.48,20.999999999999996
13959,5757,0.27,0.48,20.999999999999996
13978,5764,0.27,0.48,20.999999999999996
13981,5765,0.26,0.48,21.999999999999996
13983,5766,0.25,0.48,23.0
13986,5767,0.26,0.48,21.999999999999996
13989,5768,0.26,0.48,21.999999999999996
13991,5769,0.26,0.48,21.999999999999996
13992,5770,0.26,0.48,21.999999999999996
13994,5771,0.27,0.48,20.999999999999996
13996,5772,0.27,0.48,20.999999999999996
14000,5773,0.27,0.48,20.999999999999996
15300,6350,0.27,0.48,20.999999999999996
15305,6352,0.27,0.48,20.999999999999996
15306,6353,0.27,0.48,20.999999999999996
15308,6354,0.27,0.48,20.999999999999996
16110,6719,0.27,0.48,20.999999999999996
25220,10959,0.41,0.62,21.000000000000004
25221,10960,0.41,0.62,21.000000000000004
25222,10961,0.41,0.62,21.000000000000004
25302,11003,0.41,0.62,21.000000000000004
25303,11004,0.4,0.62,21.999999999999996
25307,11005,0.4,0.62,21.999999999999996
25310,11006,0.4,0.62,21.999999999999996
25311,11007,0.41,0.62,21.000000000000004
27418,12013,0.43,0.64,21.000000000000004
27419,12014,0.42,0.64,22.000000000000004
27421,12015,0.42,0.64,22.000000000000004
27422,12016,0.42,0.64,22.000000000000004
27424,12017,0.41,0.64,23.000000000000004
27426,12018,0.4,0.64,24.0
27427,12019,0.41,0.64,23.000000000000004
27428,12020,0.41,0.64,23.000000000000004
27430,12021,0.42,0.64,22.000000000000004
27432,12022,0.43,0.64,21.000000000000004
27433,12023,0.43,0.64,21.000000000000004
27434,12024,0.42,0.64,22.000000000000004
27436,12025,0.41,0.64,23.000000000000004
27438,12026,0.4,0.64,24.0
27441,12027,0.39,0.64,25.0
27446,12028,0.39,0.64,25.0
