step,episode,delivery_rate,peak_rate,mean_return,mean_hops,invalid_count
1561,500,0.15,0.27,-10.65,2.9,0
2885,1000,0.16,0.27,-13.22,2.4,0
4096,1500,0.18,0.27,-12.98,2.3,0
5298,2000,0.16,0.27,-13.88,2.4,0
6466,2500,0.25,0.32,-11.6,2.3,0
7636,3000,0.15,0.32,-14.01,2.5,0
8765,3500,0.28,0.32,-11.22,2.4,0
9941,4000,0.25,0.4,-11.67,2.4,0
11076,4500,0.35,0.4,-9.8,2.3,0
12259,5000,0.32,0.45,-10.48,2.3,0
13386,5500,0.3,0.48,-10.36,2.2,0
14504,6000,0.34,0.48,-10.16,2.4,0
15652,6500,0.38,0.48,-8.76,2.2,0
16714,7000,0.4,0.48,-7.95,2.1,0
17804,7500,0.44,0.49,-8.29,2.4,0
18867,8000,0.4,0.49,-8.02,2.1,0
20005,8500,0.43,0.49,-8.16,2.4,0
21093,9000,0.51,0.54,-6.41,2.2,0
22162,9500,0.52,0.57,-6.24,2.2,0
23214,10000,0.49,0.57,-5.89,1.9,0
24260,10500,0.44,0.57,-7.6,2.1,0
25295,11000,0.43,0.62,-7.42,2.0,0
26367,11500,0.5,0.62,-6.08,2.1,0
27393,12000,0.49,0.64,-5.77,1.9,0
28445,12500,0.51,0.64,-5.93,2.1,0
29492,13000,0.5,0.64,-6.74,2.2,0
30520,13500,0.6,0.64,-3.67,1.9,0
31543,14000,0.62,0.66,-3.88,2.1,0
32550,14500,0.54,0.66,-4.46,1.8,0
33627,15000,0.51,0.7,-6.17,2.1,0
34635,15500,0.6,0.7,-4.19,2.0,0
35682,16000,0.63,0.7,-3.7,2.1,0
36679,16500,0.67,0.7,-2.28,1.9,0
37660,17000,0.56,0.7,-4.43,1.9,0
38680,17500,0.64,0.72,-3.16,1.9,0
39743,18000,0.59,0.72,-4.54,2.1,0
40752,18500,0.59,0.76,-3.5,1.8,0
41797,19000,0.62,0.76,-3.92,2.0,0
42821,19500,0.61,0.76,-3.78,2.0,0
43825,20000,0.7,0.76,-2.25,2.0,0
44839,20500,0.61,0.76,-3.33,1.8,0
45874,21000,0.58,0.79,-4.42,2.0,0
46887,21500,0.7,0.79,-2.72,2.2,0
47937,22000,0.69,0.79,-3.16,2.2,0
48947,22500,0.7,0.79,-2.24,2.0,0
49963,23000,0.74,0.79,-1.17,1.9,0
50989,23500,0.67,0.79,-3.34,2.1,0
52001,24000,0.67,0.79,-2.89,2.0,0
53000,24500,0.62,0.79,-3.29,1.9,0
54006,25000,0.67,0.79,-2.92,2.0,0
55097,25500,0.68,0.79,-2.85,2.1,0
56138,26000,0.74,0.82,-1.09,1.9,0
57129,26500,0.61,0.83,-4.65,2.2,0
58158,27000,0.66,0.83,-3.38,2.1,0
59179,27500,0.67,0.83,-3.3,2.2,0
60217,28000,0.66,0.83,-3.09,2.0,0
61251,28500,0.74,0.83,-2.01,2.2,0
62264,29000,0.57,0.83,-3.91,1.7,0
63303,29500,0.62,0.83,-3.62,2.0,0
64302,30000,0.67,0.83,-2.68,1.9,0
65344,30500,0.65,0.83,-3.53,2.1,0
66332,31000,0.68,0.83,-3.03,2.1,0
67338,31500,0.66,0.83,-2.82,2.0,0
68371,32000,0.69,0.83,-2.52,2.0,0
69402,32500,0.69,0.83,-2.28,2.0,0
70487,33000,0.78,0.83,-0.97,2.1,0
71516,33500,0.61,0.83,-3.81,2.0,0
72497,34000,0.64,0.83,-3.03,1.9,0
73553,34500,0.72,0.83,-2.83,2.3,0
74565,35000,0.61,0.83,-3.78,1.9,0
75609,35500,0.65,0.83,-3.52,2.1,0
76627,36000,0.7,0.83,-2.8,2.1,0
77653,36500,0.71,0.83,-1.99,2.0,0
78654,37000,0.58,0.83,-4.69,2.0,0
79696,37500,0.72,0.84,-2.01,2.0,0
80728,38000,0.7,0.84,-1.87,1.9,0
81728,38500,0.77,0.84,-1.74,2.3,0
